iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A64,2020-02-29,-69.7576,-61.0145,-0.0131,0.1095,0.1858,109.12,0.0,0.0,0.8584,0.51298,2.723,0.0,0.0,-0.6501,-0.2539,0.0253,0.0479
A64,2020-03-01,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.8671,0.49814,2.747,0.0,0.0,-1.2039,1.3435,0.0218,0.038
A64,2020-03-02,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.87554,0.48315,2.752,0.0,0.0,0.9637,3.3652,0.0172,0.0435
A64,2020-03-03,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.88372,0.46802,2.778,0.0,0.0,-0.6654,3.5979,-0.0131,0.076
A64,2020-03-04,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.89164,0.45274,2.853,0.0,0.0,1.7403,-5.6,0.0845,0.0348
A64,2020-03-05,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.8993,0.43734,2.969,0.0,0.0,-0.2519,0.8076,0.0062,0.0518
A64,2020-03-06,-69.7576,-61.0145,0.0,0.0,0.0,0.0,16.0,11.0,0.90669,0.42181,3.109,0.0,0.0,-0.3953,2.7096,-0.0438,0.1071
A64,2020-03-07,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.91381,0.40615,3.194,0.0,0.0,0.9562,-1.9238,0.0249,0.0535
A64,2020-03-08,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.92066,0.39037,3.305,0.0,0.0,1.5489,-1.8753,0.034,0.0558
A64,2020-03-09,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.92724,0.37447,3.392,0.0,0.0,1.2321,-4.0787,0.0484,0.0484
A64,2020-03-10,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.93354,0.35847,3.496,0.0,0.0,1.7967,-1.7936,0.0279,0.0601
A64,2020-03-11,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.93957,0.34236,3.623,0.0,0.0,1.0543,-3.2407,0.0424,0.061
A64,2020-03-12,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.94532,0.32614,3.73,0.0,0.0,0.9522,-3.8392,0.042,0.0431
A64,2020-03-13,-69.7576,-61.0145,0.0,0.0,0.0,0.0,16.0,11.0,0.95079,0.30983,3.816,0.0,0.0,3.4338,-5.0723,0.0708,0.0386
A64,2020-03-14,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.95598,0.29343,3.933,0.0,0.0,-1.3191,5.2001,-0.0645,0.1146
A64,2020-03-15,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.96089,0.27695,4.029,0.0,0.0,-1.9939,7.9688,-0.1132,0.1666
A64,2020-03-16,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.96551,0.26038,4.063,0.0,0.0,-1.2176,6.1378,-0.0152,0.0968
A64,2020-03-17,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.96984,0.24373,4.1,0.0,0.0,-0.3485,2.0359,0.0284,0.0385
A64,2020-03-18,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.97389,0.22701,4.198,0.0,0.0,-0.6499,3.7674,0.023,0.0423
A64,2020-03-19,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.97765,0.21022,4.279,0.0,0.0,-0.0342,5.1806,0.0191,0.0486
A64,2020-03-20,-69.7576,-61.0145,0.0,0.0,0.0,0.0,16.0,11.0,0.98112,0.19338,4.409,0.0,0.0,-1.6941,3.2669,0.0208,0.048
A64,2020-03-21,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.98431,0.17647,4.488,0.0,0.0,0.416,-0.3825,0.0177,0.0457
A64,2020-03-22,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.9872,0.15951,4.506,0.0,0.0,0.2884,1.8692,0.0165,0.0426
A64,2020-03-23,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.98979,0.14251,4.559,0.0,0.0,-0.3889,6.698,0.0115,0.0486
A64,2020-03-24,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.9921,0.12546,4.681,0.0,0.0,-0.0498,4.2012,-0.0008,0.0644
A64,2020-03-25,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.99411,0.10838,4.729,0.0,0.0,-0.3906,-0.377,0.0198,0.0434
A64,2020-03-26,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.99583,0.09126,4.858,0.0,0.0,0.1833,18.6668,-0.132,0.2763
A64,2020-03-27,-69.7576,-61.0145,0.0,0.0,0.0,0.0,16.0,11.0,0.99725,0.07412,4.921,0.0,0.0,-3.4299,19.7655,-0.0803,0.2248
